"id","selected_speaker","stimulus_word"
"001","NZ","scorpion"
"001","NZ","dolphin"
"001","TR","email"
"001","NZ","dynamite"
"001","NZ","rattlesnake"
"001","TR","aftershave"
"001","TR","folder"
"001","TR","plaster"
"001","NZ","camel"
"001","NZ","livestock"
"001","NZ","seagull"
"001","TR","reindeer"
"001","NZ","salmon"
"001","TR","insect"
"001","TR","manicure"
"001","TR","butter"
"001","NZ","goose"
"001","NZ","lion"
"001","TR","predator"
"001","NZ","bacteria"
"001","TR","spider"
"001","TR","eyeliner"
"001","TR","eggnog"
"001","NZ","shellfish"
"001","NZ","beetle"
"001","NZ","hydrogen"
"001","NZ","photograph"
"001","NZ","pager"
"001","TR","washer"
"001","NZ","jewellery"
"002","TR","mouse"
"002","NZ","arrow"
"002","TR","airstrip"
"002","NZ","garage"
"002","TR","oyster"
"002","NZ","kitten"
"002","NZ","sunscreen"
"002","NZ","vocabulary"
"002","NZ","bloodhound"
"002","TR","dynamite"
"002","NZ","shellfish"
"002","TR","penguin"
"002","TR","scorpion"
"002","TR","turkey"
"002","TR","bleach"
"002","NZ","zebra"
"002","TR","ferret"
"002","TR","eggnog"
"002","TR","sauerkraut"
"002","TR","catfish"
"002","NZ","diamond"
"002","TR","seagull"
"002","TR","fiber"
"002","NZ","casket"
"002","NZ","musket"
"002","TR","predator"
"002","TR","plaster"
"002","TR","aftershave"
"002","NZ","walrus"
"002","NZ","tuna"
"003","NZ","airstrip"
"003","TR","lion"
"003","NZ","butterfly"
"003","TR","tuna"
"003","TR","giraffe"
"003","TR","washer"
"003","TR","fiance"
"003","TR","freezer"
"003","NZ","caterpillar"
"003","NZ","diamond"
"003","NZ","gadget"
"003","TR","tiger"
"003","TR","flower"
"003","TR","spider"
"003","TR","palace"
"003","NZ","salmon"
"003","TR","woodpecker"
"003","TR","goldfish"
"003","NZ","bloodhound"
"003","NZ","garage"
"003","TR","reindeer"
"003","NZ","toothbrush"
"003","NZ","rattlesnake"
"003","NZ","zebra"
"003","NZ","fiber"
"003","NZ","parasite"
"003","NZ","manicure"
"003","TR","missile"
"003","NZ","gazelle"
"003","NZ","elephant"
"004","TR","butter"
"004","NZ","dynamite"
"004","NZ","octopus"
"004","NZ","pizza"
"004","TR","mainland"
"004","TR","fiber"
"004","NZ","uranium"
"004","NZ","duffle"
"004","NZ","zebra"
"004","NZ","grapefruit"
"004","NZ","walrus"
"004","NZ","matchbook"
"004","NZ","gazelle"
"004","NZ","missile"
"004","NZ","bloodhound"
"004","TR","gadget"
"004","TR","tortoise"
"004","NZ","museum"
"004","TR","racquetball"
"004","TR","turkey"
"004","NZ","parasite"
"004","NZ","camel"
"004","NZ","scrapbook"
"004","TR","casket"
"004","NZ","panda"
"004","NZ","playground"
"004","TR","syringe"
"004","TR","buttermilk"
"004","NZ","grandmother"
"004","NZ","shellfish"
"005","NZ","jewellery"
"005","NZ","swordfish"
"005","NZ","bagel"
"005","NZ","snake"
"005","TR","giraffe"
"005","TR","pager"
"005","NZ","goose"
"005","TR","eggnog"
"005","NZ","buttermilk"
"005","NZ","aquarium"
"005","TR","walrus"
"005","TR","basket"
"005","TR","hamster"
"005","NZ","sauerkraut"
"005","TR","eyeliner"
"005","NZ","palace"
"005","NZ","lion"
