file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,speakers,key_press
data_2025-03-31-00-28-23_ekua4rds4u,21806.59999999404,"{""Participant ID"":""testus""}",survey-text,0,21813,0.0-0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,33539.89999997616,NA,instructions,1,55354,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":33539.69999998808}]",NA,NA,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,1450.800000011921,NA,instructions,2,57067,0.0-0.0-2.0-0.0,"[{""page_index"":0,""viewing_time"":1450.6000000238419}]",NA,NA,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,null,NA,audio-button-response,3,61075,0.0-0.0-2.0-1.0,NA,resource/audio/lion_US.mp3,null,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,null,NA,audio-button-response,4,64702,0.0-0.0-2.0-2.0,NA,resource/audio/lion_NZ.mp3,null,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,null,NA,audio-button-response,5,66835,0.0-0.0-2.0-3.0,NA,resource/audio/lion_TR.mp3,null,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,2169.9000000059605,NA,audio-button-response,6,69257,0.0-0.0-2.0-4.0,NA,resource/audio/blank.mp3,0,"lion_NZ.mp3,lion_TR.mp3",NA
data_2025-03-31-00-28-23_ekua4rds4u,899.4000000059605,NA,instructions,7,70410,0.0-0.0-2.0-5.0,"[{""page_index"":0,""viewing_time"":899.1999999880791}]",NA,NA,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,null,NA,audio-button-response,8,73108,0.0-0.0-2.0-6.0,NA,resource/audio/elephant_US.mp3,null,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,null,NA,audio-button-response,9,76179,0.0-0.0-2.0-7.0,NA,resource/audio/elephant_NZ.mp3,null,NA,NA
data_2025-03-31-00-28-23_ekua4rds4u,null,NA,audio-button-response,10,78440,0.0-0.0-2.0-8.0,NA,resource/audio/elephant_TR.mp3,null,NA,NA
