file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,speakers,key_press
data_2025-03-31-11-07-46.792371_a42g9a20md,4684,"{""Participant ID"":""test""}",survey-text,0,4702,0.0-0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,9610,NA,instructions,1,14312,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":9609}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,4949,NA,instructions,2,19512,0.0-0.0-2.0-0.0,"[{""page_index"":0,""viewing_time"":4949}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,3,22130,0.0-0.0-2.0-1.0,NA,resource/audio/camel_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,4,24797,0.0-0.0-2.0-2.0,NA,resource/audio/camel_TR.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,5,27838,0.0-0.0-2.0-3.0,NA,resource/audio/camel_NZ.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,4417.000000000007,NA,audio-button-response,6,32438,0.0-0.0-2.0-4.0,NA,resource/audio/blank.mp3,1,"camel_TR.mp3,camel_NZ.mp3",NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1919,NA,instructions,7,34609,0.0-0.0-2.0-5.0,"[{""page_index"":0,""viewing_time"":1919}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,8,36677,0.0-0.0-2.0-6.0,NA,resource/audio/folder_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,9,39438,0.0-0.0-2.0-7.0,NA,resource/audio/folder_NZ.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1632,NA,audio-button-response,10,41742,0.0-0.0-2.0-8.0,NA,resource/audio/folder_TR.mp3,0,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1151,NA,audio-button-response,11,43146,0.0-0.0-2.0-9.0,NA,resource/audio/blank.mp3,1,"folder_NZ.mp3,folder_TR.mp3",NA
data_2025-03-31-11-07-46.792371_a42g9a20md,2624,NA,instructions,12,46021,0.0-0.0-2.0-10.0,"[{""page_index"":0,""viewing_time"":2623}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,13,48451,0.0-0.0-2.0-11.0,NA,resource/audio/diamond_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,14,53035,0.0-0.0-2.0-12.0,NA,resource/audio/diamond_NZ.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,15,55171,0.0-0.0-2.0-13.0,NA,resource/audio/diamond_TR.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1187.0000000000073,NA,audio-button-response,16,56611,0.0-0.0-2.0-14.0,NA,resource/audio/blank.mp3,0,"diamond_NZ.mp3,diamond_TR.mp3",NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1658,NA,instructions,17,58520,0.0-0.0-2.0-15.0,"[{""page_index"":0,""viewing_time"":1658}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,18,62260,0.0-0.0-2.0-16.0,NA,resource/audio/ferret_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,19,65480,0.0-0.0-2.0-17.0,NA,resource/audio/ferret_NZ.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,20,66755,0.0-0.0-2.0-18.0,NA,resource/audio/ferret_TR.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1046,NA,audio-button-response,21,68053,0.0-0.0-2.0-19.0,NA,resource/audio/blank.mp3,1,"ferret_NZ.mp3,ferret_TR.mp3",NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1305.0000000000146,NA,instructions,22,69608,0.0-0.0-2.0-20.0,"[{""page_index"":0,""viewing_time"":1305.0000000000146}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,23,72515,0.0-0.0-2.0-21.0,NA,resource/audio/donkey_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,24,76367,0.0-0.0-2.0-22.0,NA,resource/audio/donkey_NZ.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,25,77356,0.0-0.0-2.0-23.0,NA,resource/audio/donkey_TR.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1739,NA,audio-button-response,26,79349,0.0-0.0-2.0-24.0,NA,resource/audio/blank.mp3,0,"donkey_NZ.mp3,donkey_TR.mp3",NA
data_2025-03-31-11-07-46.792371_a42g9a20md,883,NA,instructions,27,80484,0.0-0.0-2.0-25.0,"[{""page_index"":0,""viewing_time"":883}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,28,84264,0.0-0.0-2.0-26.0,NA,resource/audio/critter_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,29,87559,0.0-0.0-2.0-27.0,NA,resource/audio/critter_NZ.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,30,88809,0.0-0.0-2.0-28.0,NA,resource/audio/critter_TR.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1915,NA,audio-button-response,31,90976,0.0-0.0-2.0-29.0,NA,resource/audio/blank.mp3,0,"critter_NZ.mp3,critter_TR.mp3",NA
data_2025-03-31-11-07-46.792371_a42g9a20md,1236,NA,instructions,32,92464,0.0-0.0-2.0-30.0,"[{""page_index"":0,""viewing_time"":1236}]",NA,NA,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,33,95247,0.0-0.0-2.0-31.0,NA,resource/audio/plaster_US.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,null,NA,audio-button-response,34,97142,0.0-0.0-2.0-32.0,NA,resource/audio/plaster_TR.mp3,null,NA,NA
data_2025-03-31-11-07-46.792371_a42g9a20md,3744,NA,audio-button-response,35,101906,0.0-0.0-2.0-33.0,NA,resource/audio/plaster_NZ.mp3,0,NA,NA
