file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,speakers,key_press
data_2025-04-01-14-32-02.399472_2unck5ncuc,2536,"{""Participant ID"":""test""}",survey-text,0,2620,0.0-0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,3226,NA,instructions,1,5849,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":3225}]",NA,NA,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,1676.0000000000018,NA,instructions,2,7777,0.0-0.0-2.0-0.0,"[{""page_index"":0,""viewing_time"":1676.0000000000018}]",NA,NA,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,3,9043,0.0-0.0-2.0-1.0,NA,resource/audio/critter_US.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,4,10296,0.0-0.0-2.0-2.0,NA,resource/audio/critter_TR.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,5,13631,0.0-0.0-2.0-3.0,NA,resource/audio/critter_NZ.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,894,NA,audio-button-response,6,14777,0.0-0.0-2.0-4.0,NA,resource/audio/blank.mp3,1,"critter_TR.mp3,critter_NZ.mp3",NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,964.0000000000036,NA,instructions,7,15993,0.0-0.0-2.0-5.0,"[{""page_index"":0,""viewing_time"":964.0000000000036}]",NA,NA,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,8,18086,0.0-0.0-2.0-6.0,NA,resource/audio/scrapbook_US.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,9,21051,0.0-0.0-2.0-7.0,NA,resource/audio/scrapbook_NZ.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,10,22973,0.0-0.0-2.0-8.0,NA,resource/audio/scrapbook_TR.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,918,NA,audio-button-response,11,24143,0.0-0.0-2.0-9.0,NA,resource/audio/blank.mp3,1,"scrapbook_NZ.mp3,scrapbook_TR.mp3",NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,1181,NA,instructions,12,25575,0.0-0.0-2.0-10.0,"[{""page_index"":0,""viewing_time"":1181}]",NA,NA,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,13,26922,0.0-0.0-2.0-11.0,NA,resource/audio/zebra_US.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,14,28240,0.0-0.0-2.0-12.0,NA,resource/audio/zebra_TR.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,15,31306,0.0-0.0-2.0-13.0,NA,resource/audio/zebra_NZ.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,1153,NA,audio-button-response,16,32710,0.0-0.0-2.0-14.0,NA,resource/audio/blank.mp3,1,"zebra_TR.mp3,zebra_NZ.mp3",NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,898,NA,instructions,17,33860,0.0-0.0-2.0-15.0,"[{""page_index"":0,""viewing_time"":898}]",NA,NA,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,18,35340,0.0-0.0-2.0-16.0,NA,resource/audio/telegraph_US.mp3,null,NA,NA
data_2025-04-01-14-32-02.399472_2unck5ncuc,null,NA,audio-button-response,19,37913,0.0-0.0-2.0-17.0,NA,resource/audio/telegraph_TR.mp3,null,NA,NA
